date,ticker,actual_price,fitted_price
2017-12-06,AMD,10.0,12.903146127133587
2017-12-07,AMD,10.04,12.919983842885824
2017-12-08,AMD,9.94,12.936843530695755
2017-12-11,AMD,10.16,12.987554713379463
2017-12-12,AMD,9.9,13.004502576514978
2017-12-13,AMD,10.11,13.021472555442974
2017-12-14,AMD,10.13,13.038464679023056
2017-12-15,AMD,10.29,13.055478976152443
2017-12-18,AMD,10.98,13.106655198374773
2017-12-19,AMD,10.95,13.123758479428766
2017-12-20,AMD,10.98,13.140884079084856
2017-12-21,AMD,10.89,13.158032026467328
2017-12-22,AMD,10.54,13.175202350738445
2017-12-26,AMD,10.46,13.244108001286898
2017-12-27,AMD,10.53,13.26139064876838
2017-12-28,AMD,10.55,13.278695848912847
2017-12-29,AMD,10.28,13.296023631149918
2018-01-02,AMD,10.98,13.365561170963137
2018-01-03,AMD,11.55,13.383002306454316
2018-01-04,AMD,12.12,13.400466201424377
2018-01-05,AMD,11.88,13.41795288557287
2018-01-08,AMD,12.28,13.470549970666042
2018-01-09,AMD,11.82,13.488128109299645
2018-01-10,AMD,11.96,13.505729186191733
2018-01-11,AMD,12.14,13.523353231275271
2018-01-12,AMD,12.02,13.541000274522048
2018-01-16,AMD,11.91,13.611819029950151
2018-01-17,AMD,12.18,13.629581514962618
2018-01-18,AMD,12.47,13.64736717879293
2018-01-19,AMD,12.59,13.66517605168789
2018-01-22,AMD,12.65,13.718742227820238
2018-01-23,AMD,12.94,13.736644240231318
2018-01-24,AMD,12.71,13.754569613533874
2018-01-25,AMD,12.41,13.772518378212283
2018-01-26,AMD,12.95,13.790490564790652
2018-01-29,AMD,13.32,13.84454796176458
2018-01-30,AMD,12.87,13.862614141981553
2018-01-31,AMD,13.74,13.88070389731759
2018-02-01,AMD,13.25,13.89881725853672
2018-02-02,AMD,12.45,13.916954256442946
2018-02-05,AMD,11.57,13.971507378927893
2018-02-06,AMD,11.65,13.989739232427713
2018-02-07,AMD,11.6,14.007994877238879
2018-02-08,AMD,11.22,14.026274344407414
2018-02-09,AMD,11.31,14.044577665019798
2018-02-12,AMD,11.68,14.099631058994646
2018-02-13,AMD,11.78,14.118030105060102
2018-02-14,AMD,12.2,14.136453160611696
2018-02-15,AMD,12.19,14.154900256980127
2018-02-16,AMD,11.82,14.17337142553698
2018-02-20,AMD,12.02,14.247497450514988
2018-02-21,AMD,11.72,14.266089452022877
2018-02-22,AMD,11.84,14.284705714810473
2018-02-23,AMD,12.07,14.303346270536974
2018-02-26,AMD,12.42,14.359414012563237
2018-02-27,AMD,12.53,14.37815205746562
2018-02-28,AMD,12.11,14.39691455422419
2018-03-01,AMD,11.9,14.415701534746963
2018-03-02,AMD,11.81,14.434513030983585
2018-03-05,AMD,11.91,14.491094934098289
2018-03-06,AMD,11.76,14.510004813521101
2018-03-07,AMD,12.24,14.528939369032326
2018-03-08,AMD,11.97,14.547898632832558
2018-03-09,AMD,11.7,14.566882637164355
2018-03-12,AMD,11.52,14.623983416407192
2018-03-13,AMD,11.64,14.643066706133958
2018-03-14,AMD,11.36,14.662174898237597
2018-03-15,AMD,11.46,14.681308025214019
2018-03-16,AMD,11.47,14.700466119601538
2018-03-19,AMD,11.43,14.758090533250634
2018-03-20,AMD,11.11,14.777348823515345
2018-03-21,AMD,11.26,14.796632244520637
2018-03-22,AMD,10.91,14.815940829060294
2018-03-23,AMD,10.63,14.835274609971039
2018-03-26,AMD,10.44,14.893427459939723
2018-03-27,AMD,10.0,14.912862355559456
2018-03-28,AMD,9.81,14.932322612377503
2018-03-29,AMD,10.05,14.951808263488555
2018-04-02,AMD,9.53,15.030005474267131
2018-04-03,AMD,9.55,15.049618594775605
2018-04-04,AMD,9.77,15.069257309053606
2018-04-05,AMD,10.02,15.088921650499264
2018-04-06,AMD,9.61,15.108611652554238
2018-04-09,AMD,9.53,15.167835957446817
2018-04-10,AMD,9.98,15.187628937229526
2018-04-11,AMD,9.82,15.207447745485737
2018-04-12,AMD,10.08,15.227292415919743
2018-04-13,AMD,9.93,15.247162982280038
2018-04-16,AMD,10.09,15.306930395062558
2018-04-17,AMD,10.52,15.326904883492892
2018-04-18,AMD,10.36,15.346905437252968
2018-04-19,AMD,10.11,15.366932090356212
2018-04-20,AMD,9.99,15.386984876860495
2018-04-23,AMD,10.04,15.447300378025096
2018-04-24,AMD,10.09,15.467458039601674
2018-04-25,AMD,9.71,15.487642005536397
2018-04-26,AMD,11.04,15.507852310154528
2018-04-27,AMD,11.11,15.528088987826232
2018-04-30,AMD,10.88,15.588957603537766
2018-05-01,AMD,11.13,15.609300118023418
2018-05-02,AMD,10.97,15.629669178087456
2018-05-03,AMD,10.93,15.650064818369973
